,date,newCases,previsao,erro_relativo,newCases_7d,erro_medio
33,2022-02-03,883,1000.4667931085881,0.13303147577416552,837.7142857142857,
34,2022-02-04,1155,968.3428110698455,0.1616079557836835,876.5714285714286,
35,2022-02-05,1016,917.9329149114614,0.09652272154383724,885.5714285714286,
36,2022-02-06,196,802.3762334361262,3.0937562930414604,839.1428571428571,
37,2022-02-07,305,741.3070646961729,1.4305149662169603,850.1428571428571,
38,2022-02-08,879,754.417586048617,0.14173198401750062,807.5714285714286,
39,2022-02-09,756,736.2793411595438,0.02608552756674096,741.4285714285714,
40,2022-02-10,829,729.2215653740482,0.12035999351743285,733.7142857142857,
41,2022-02-11,877,717.5906881918293,0.18176660411421977,694.0,
42,2022-02-12,895,715.0421687896797,0.20107020246963156,676.7142857142857,335.29427029914575
43,2022-02-13,448,614.3479618193094,0.3713124147752441,712.7142857142857,339.73318714911227
44,2022-02-14,426,586.2592534000137,0.37619543051646404,730.0,337.8731490015807
45,2022-02-15,921,637.356682106899,0.30797320075255263,736.0,326.7316276557906
46,2022-02-16,31,549.4501593479251,16.724198688642748,632.4285714285714,359.492657609867
47,2022-02-17,2179,740.8219018854041,0.6600174842196401,825.2857142857143,467.15694342980777
48,2022-02-18,1215,782.9122419162964,0.3556277844310318,873.5714285714286,475.83874539211007
49,2022-02-19,1228,810.5882795980326,0.33991182443156953,921.1428571428571,484.8081751005311
50,2022-02-20,234,713.1387167955475,2.047601353827126,890.5714285714286,497.1627002932322
51,2022-02-21,308,645.0311421473702,1.0942569550239294,873.7142857142857,504.9107843624487
52,2022-02-22,921,895.4426877470355,0.027749524704630286,873.7142857142857,490.5788241152955
53,2022-02-23,1746,1196.2628458498048,0.3148551856530328,1118.7142857142858,529.8031836739304
54,2022-02-24,2645,1726.23221343874,0.3473602217622911,1185.2857142857142,676.5499600731922
55,2022-02-25,1250,1696.0592885375495,0.3568474308300396,1190.2857142857142,701.7712444326221
56,2022-02-26,3291,2309.4357707509853,0.29825713438134754,1485.0,913.1766824892528
57,2022-02-27,456,1814.368577075098,2.978878458498022,1516.7142857142858,934.0502426608775
58,2022-02-28,498,1481.0345849802384,1.9739650300808,1543.857142857143,929.3396444659036
59,2022-03-01,1180,1021.8295138811364,0.13404278484649454,1580.857142857143,916.6438319716549
60,2022-03-02,1006,981.9339768827265,0.023922488188144648,1475.142857142857,914.1401822071211
61,2022-03-03,1107,989.1627299901297,0.10644739838289999,1255.4285714285713,910.1634585931463
62,2022-03-04,1265,1004.0965134301439,0.20624781547024199,1257.5714285714287,907.6759059899679
63,2022-03-05,1478,1029.3940388324136,0.30352230119593127,998.5714285714286,908.246699816177
64,2022-03-06,243,910.6927056705514,2.7477066076977423,968.1428571428571,920.8609612066641
65,2022-03-07,180,844.9776646089371,3.694320358938539,922.7142857142857,926.5879438816588
66,2022-03-08,736,857.1521427137633,0.1646088895567436,859.2857142857143,914.2112787432561
67,2022-03-09,888,850.6351160772406,0.042077571985089435,842.4285714285714,910.7638808352532
